ID;Nom de la tâche;Catégorie;Temps de réalisation (IA);Priorité
METIER-19;Montée en charge progressive du volume d'envoi sur un domaine neuf;Métier Commercial (Lot 2);1h;P0
METIER-20;Plafond dur de volume d'envoi par employé et par jour;Métier Commercial (Lot 2);45 min;P0
METIER-21;Surveillance des taux de rebond et de plainte, avec suspension automatique au seuil;Métier Commercial (Lot 2);1h30;P0
METIER-22;Journalisation du motif de sélection d'un prospect (raisonnement métier, pas mécanique);Métier Commercial (Lot 2);45 min;P0
EXEC-01;Point d'entrée signé déclenché par un battement planifié;Exécution autonome (Lot 3);45 min;P0
EXEC-02;Runtime : charger l'état persisté d'un run;Exécution autonome (Lot 3);30 min;P0
EXEC-03;Runtime : appeler l'assemblage de contexte pour le pas courant;Exécution autonome (Lot 3);20 min;P0
EXEC-04;Runtime : demander la prochaine action au Model Gateway;Exécution autonome (Lot 3);30 min;P0
EXEC-05;Runtime : soumettre l'action au Policy Engine;Exécution autonome (Lot 3);30 min;P0
EXEC-06;Runtime : exécuter l'action ou suspendre selon la décision de politique;Exécution autonome (Lot 3);45 min;P0
EXEC-07;Runtime : écrire l'événement d'exécution au journal;Exécution autonome (Lot 3);20 min;P0
EXEC-08;Runtime : replanifier le pas suivant ou terminer le run;Exécution autonome (Lot 3);30 min;P0
EXEC-09;Reprise après interruption (reconstruction d'état depuis le journal);Exécution autonome (Lot 3);1h30;P0
EXEC-10;Suspension d'un run en attente d'accord humain;Exécution autonome (Lot 3);1h;P0
EXEC-11;Reprise après validation humaine (approve/reject/trustFuture);Exécution autonome (Lot 3);1h;P0
EXEC-12;Verrouillage par ligne de la file job + saut des lignes verrouillées;Exécution autonome (Lot 3);45 min;P0
EXEC-13;Priorité d'exécution pilotée par la formule du client;Exécution autonome (Lot 3);30 min;P1
EXEC-14;Notifications de travail émises depuis les outcomes journalisés;Exécution autonome (Lot 3);45 min;P0
EXEC-15;Réflexion après run, tolérante aux erreurs (jamais bloquante);Exécution autonome (Lot 3);1h;P1
EXEC-16;Ordre total sur objective : le dernier objectif ne se déduit pas de created_at (identique dans une même transaction);Exécution autonome (Lot 3);45 min;P1
EXEC-17;Approvisionnement : ouvrir les nouvelles missions du jour, de façon déterministe et bornée;Exécution autonome (Lot 3);2h;P0
EXEC-18;Racine de composition du worker : environnement validé, adaptateurs assemblés, battement signé servi;Exécution autonome (Lot 3);1h30;P0
EXEC-19;Exécutant en fonction serveur (Deno) : runtime partagé, pilote, boucle complète et parité avec Node;Exécution autonome (Lot 3);4h;P0
ACQUIS-01;Layout de la vitrine + navigation;Acquisition (Lot 4);1h;P0
ACQUIS-02;Section Hero de la vitrine;Acquisition (Lot 4);45 min;P1
ACQUIS-03;Section Mission de la vitrine;Acquisition (Lot 4);45 min;P1
ACQUIS-04;Section démonstration scriptée (données fixes, présentée comme démonstration);Acquisition (Lot 4);2h;P0
ACQUIS-05;Section "comment ça marche";Acquisition (Lot 4);45 min;P2
ACQUIS-06;Section tarifs (Start affichée comme achetable, Growth/Scale visibles non actives);Acquisition (Lot 4);1h;P0
ACQUIS-07;Page légale : mentions légales (contenu provisoire signalé);Acquisition (Lot 4);30 min;P0
ACQUIS-08;Page légale : conditions générales d'utilisation/vente;Acquisition (Lot 4);45 min;P0
ACQUIS-09;Page légale : politique de confidentialité;Acquisition (Lot 4);45 min;P0
ACQUIS-10;Page légale : politique de cookies;Acquisition (Lot 4);30 min;P1
ACQUIS-11;Page légale : formulaire de demande RGPD (accès/effacement/contestation);Acquisition (Lot 4);1h;P0
ACQUIS-12;Composant de conversation de diagnostic (aller-retour direct au Model Gateway);Acquisition (Lot 4);1h30;P0
ACQUIS-13;Extraction de profil structuré depuis la conversation de diagnostic;Acquisition (Lot 4);1h30;P0
ACQUIS-14;Moteur de règles déterministe (frein + situation → calibrage de l'employé);Acquisition (Lot 4);1h;P0
ACQUIS-15;Génération de la justification de recommandation par le modèle;Acquisition (Lot 4);45 min;P0
ACQUIS-21;Questions de calibrage du diagnostic, bornées à ce que les capacités savent faire;Acquisition (Lot 4);1h;P0
ACQUIS-22;Écriture du calibrage dans le profil entreprise et les capacités actives (jamais l'ADN);Acquisition (Lot 4);1h;P0
ACQUIS-23;Identification du secteur du client pendant le diagnostic;Acquisition (Lot 4);45 min;P0
ACQUIS-24;Sélection du profil sectoriel par le moteur déterministe, message honnête si aucun ne correspond;Acquisition (Lot 4);45 min;P0
ACQUIS-16;Cas "besoin hors périmètre détecté" : message honnête + liste d'attente;Acquisition (Lot 4);45 min;P0
ACQUIS-17;Limitation par visiteur et par adresse sur le diagnostic public;Acquisition (Lot 4);1h;P0
ACQUIS-18;Enveloppe d'inférence dédiée au diagnostic public (plafond appliqué);Acquisition (Lot 4);30 min;P0
ACQUIS-19;Jeu de conversations de référence pour le diagnostic;Acquisition (Lot 4);1h30;P1
ACQUIS-20;Test de non-régression rejouant le jeu de référence à chaque modification de prompt;Acquisition (Lot 4);1h;P1
RECRUT-01;Intégration du prestataire de paiement (paiement hébergé);Recrutement & Paiement (Lot 5);1h30;P0
RECRUT-02;Point d'entrée de confirmation serveur du paiement (jamais la redirection navigateur);Recrutement & Paiement (Lot 5);1h;P0
RECRUT-03;Réservation atomique d'une identité dans le réservoir;Recrutement & Paiement (Lot 5);45 min;P0
RECRUT-04;Création de l'employé sur une version figée d'ADN;Recrutement & Paiement (Lot 5);45 min;P0
RECRUT-05;Initialisation du Contexte Entreprise depuis le profil du diagnostic et le profil sectoriel;Recrutement & Paiement (Lot 5);1h;P0
RECRUT-06;Notification de recrutement ("Bienvenue, X rejoint votre entreprise");Recrutement & Paiement (Lot 5);30 min;P0
RECRUT-07;Page de succès de paiement + ouverture de l'accès à l'espace privé;Recrutement & Paiement (Lot 5);45 min;P0
RECRUT-08;Authentification par lien magique (connexion);Recrutement & Paiement (Lot 5);1h30;P0
RECRUT-09;Protection anti-scanner du lien de connexion (callback);Recrutement & Paiement (Lot 5);45 min;P1
RECRUT-10;Rattachement automatique de l'utilisateur au tenant créé pendant le diagnostic;Recrutement & Paiement (Lot 5);1h;P0
DASH-01;Layout de l'espace privé (dashboard);Dashboard (Lot 6);1h;P0
DASH-02;Fiche employé : mission, objectif, périmètre;Dashboard (Lot 6);1h;P0
DASH-03;Fiche employé : performances et progression;Dashboard (Lot 6);1h;P0
DASH-04;Fiche employé : compétences / capacités actives;Dashboard (Lot 6);45 min;P1
DASH-05;Vue "progression vers l'objectif" (CA attribué / objectif déclaré);Dashboard (Lot 6);1h;P0
DASH-06;Déclaration de vente par le client (confirmation d'attribution);Dashboard (Lot 6);1h;P0
DASH-07;Calcul du CA généré (fenêtre d'attribution annoncée);Dashboard (Lot 6);1h;P0
DASH-08;Calcul du temps économisé (estimation documentée et affichée comme telle);Dashboard (Lot 6);45 min;P1
DASH-09;Calcul du ROI dérivé (CA attribué − prix / prix);Dashboard (Lot 6);30 min;P1
DASH-10;État vide soigné du dashboard (montée en puissance lisible);Dashboard (Lot 6);1h;P0
DASH-11;Liste des notifications (Recrutement/Travail/Évolution);Dashboard (Lot 6);45 min;P0
DASH-12;Guide de première connexion (bulles, affiché une seule fois);Dashboard (Lot 6);1h;P1
DASH-13;Gestion de l'abonnement (visualisation, statut);Dashboard (Lot 6);1h;P1
DASH-14;Section CRM minimal côté client ("vos prospects");Dashboard (Lot 6);1h;P1
DASH-15;Contrôles de validation humaine (approuver/refuser une action suspendue);Dashboard (Lot 6);1h;P0
DASH-16;Réglage du niveau d'autonomie par le client;Dashboard (Lot 6);45 min;P1
DASH-17;Vue temps réel d'exécution d'une tâche (abonnement live);Dashboard (Lot 6);1h30;P2
DASH-18;Affichage des repères de performance réalistes à côté des résultats mesurés;Dashboard (Lot 6);45 min;P0
DASH-19;Affichage du motif de sélection d'un prospect ("pourquoi cette entreprise");Dashboard (Lot 6);45 min;P1
DASH-20;Gestion des exclusions par le client (ajouter, retirer un compte exclu);Dashboard (Lot 6);45 min;P1
DASH-21;Correction du calibrage par le client (cible, ton, objectif) depuis le profil entreprise;Dashboard (Lot 6);1h;P1
EVOL-01;Écriture des faits appris (learned_fact) depuis la réflexion post-run;Évolution (Lot 7);1h;P0
EVOL-02;Application des modifications proposées au profil entreprise par l'apprentissage;Évolution (Lot 7);1h;P2
EVOL-03;Notification client sur modification du profil entreprise par l'apprentissage;Évolution (Lot 7);30 min;P2
EVOL-04;Sélection de la variante gagnante à partir des outcomes mesurés;Évolution (Lot 7);1h30;P2
EVOL-05;Écriture de strategy_change à chaque évolution réelle;Évolution (Lot 7);30 min;P0
EVOL-06;Notification d'évolution adossée strictement à strategy_change;Évolution (Lot 7);30 min;P0
EVOL-07;Interface client : consulter les faits appris;Évolution (Lot 7);45 min;P1
EVOL-08;Interface client : corriger ou retirer un fait appris;Évolution (Lot 7);45 min;P1
CONF-01;Rédaction des mentions légales définitives (post-immatriculation);Conformité & Lancement (Lot 8);1h;P0
CONF-02;Rédaction des CGU/CGV définitives;Conformité & Lancement (Lot 8);1h30;P0
CONF-03;Rédaction du registre des traitements RGPD;Conformité & Lancement (Lot 8);1h30;P0
CONF-04;Rédaction de l'analyse d'impact (AIPD, décision automatisée);Conformité & Lancement (Lot 8);2h;P0
CONF-05;Implémentation de la procédure d'effacement (anonymisation du journal);Conformité & Lancement (Lot 8);1h;P0
CONF-06;Script de sauvegarde exportée hors plateforme;Conformité & Lancement (Lot 8);1h;P0
CONF-07;Surveillance minimale : alerte email sur quota/échecs/taille base/tâches bloquées;Conformité & Lancement (Lot 8);1h30;P0
CONF-08;Contrôle automatique du lexique interdit en intégration continue;Conformité & Lancement (Lot 8);1h;P1
CONF-09;Checklist de vérification des conditions d'usage commercial des offres gratuites (préparation, décision humaine finale);Conformité & Lancement (Lot 8);30 min;P0
CONF-10;Modèle de contrat de sous-traitance par prestataire (préparation, signature humaine);Conformité & Lancement (Lot 8);1h;P0
TEST-01;Test automatisé : isolation entre entreprises (accès croisé refusé);Vérification (transverse);1h;P0
TEST-02;Test automatisé : verrou de métier (refus + trace au journal);Vérification (transverse);45 min;P0
TEST-03;Test automatisé : verrou d'apprentissage (ADN inchangé bit à bit après N runs);Vérification (transverse);1h;P0
TEST-04;Test automatisé : classe de données (aucune donnée réelle vers fournisseur non conforme);Vérification (transverse);1h;P0
TEST-05;Test automatisé : idempotence (rejeu ne duplique pas l'effet);Vérification (transverse);45 min;P0
TEST-06;Test automatisé : reprise après interruption;Vérification (transverse);1h;P0
TEST-07;Test automatisé : quotas (report propre, pas de dégradation silencieuse, pas d'impact cross-tenant);Vérification (transverse);1h;P0
TEST-08;Test automatisé : honnêteté des chiffres (aucun chiffre sans ligne en base);Vérification (transverse);45 min;P1
TEST-09;Test automatisé : ouverture de formule par simple modification de donnée;Vérification (transverse);30 min;P1
